price,surface,rooms,governorate,property_type
90000.0,50.0,2,Kairouan,Appart
950000.0,450.0,5,Sousse,House
380000.0,100.0,3,Sousse,Appart
190000.0,80.0,2,Ben Arous,House
338000.0,150.0,3,Ariana,Appart
540000.0,147.0,2,Nabeul,Appart
220000.0,132.0,3,Ben Arous,Appart
180000.0,110.0,3,Ben Arous,Appart
383000.0,116.0,2,Ariana,Appart
406000.0,123.0,3,Ariana,Appart
255000.0,65.0,1,Tunis,Appart
442000.0,138.0,3,Sfax,Appart
422000.0,107.0,2,Ariana,Appart
630000.0,150.0,3,Ariana,Appart
1950000.0,340.0,5,Nabeul,House
265000.0,140.0,3,Ariana,Appart
163000.0,70.0,2,Tunis,Appart
449000.0,136.0,2,Ariana,Appart
1450000.0,640.0,10,Nabeul,House
490000.0,140.0,3,Nabeul,House
560000.0,146.0,4,Tunis,Appart
3900000.0,1081.0,8,Tunis,House
950000.0,212.0,3,Tunis,Appart
620000.0,300.0,3,Tunis,House
660000.0,200.0,4,Ariana,Appart
358000.0,108.0,2,Ariana,Appart
520000.0,140.0,3,Mednine,House
440000.0,260.0,2,Nabeul,House
685000.0,203.0,3,Nabeul,House
355000.0,122.0,2,Sousse,Appart
13000000.0,5500.0,20,Sousse,Appart
750000.0,200.0,5,Nabeul,House
870000.0,280.0,4,Nabeul,House
1100000.0,347.0,4,Nabeul,House
1250000.0,500.0,5,Nabeul,House
415000.0,160.0,4,Ariana,Appart
420000.0,127.0,2,Nabeul,Appart
750000.0,226.0,2,Nabeul,House
850000.0,350.0,3,Nabeul,House
835000.0,290.0,6,Nabeul,House
985000.0,280.0,3,Nabeul,House
350000.0,107.0,2,Nabeul,Appart
340000.0,94.0,2,Nabeul,Appart
900000.0,224.0,4,Mednine,House
380000.0,116.0,2,Nabeul,Appart
340000.0,78.0,1,Nabeul,Appart
350000.0,180.0,3,Tunis,Appart
135000.0,61.0,1,Nabeul,Appart
185000.0,80.0,2,Nabeul,Appart
2300000.0,250.0,5,Nabeul,House
532000.0,140.0,3,Tunis,House
115000.0,49.0,1,Tunis,Appart
675000.0,156.0,3,Tunis,Appart
6200000.0,750.0,5,Tunis,House
1500000.0,600.0,8,Tunis,House
450000.0,150.0,3,Tunis,Appart
750000.0,192.0,3,Tunis,Appart
340000.0,141.0,3,Ariana,Appart
870000.0,288.0,4,Nabeul,House
580000.0,200.0,4,Nabeul,House
225000.0,70.0,2,Ariana,Appart
1750000.0,180.0,2,Tunis,House
400000.0,153.0,3,Ariana,Appart
395000.0,260.0,6,Tunis,House
340000.0,63.0,2,Tunis,Appart
680000.0,140.0,4,Nabeul,House
1580000.0,315.0,3,Tunis,Appart
195000.0,75.0,1,Ariana,Appart
320000.0,130.0,3,Sousse,Appart
566000.0,106.0,2,Tunis,Appart
425000.0,87.0,2,Tunis,Appart
1550000.0,504.0,4,Tunis,House
2500000.0,200.0,4,Tunis,House
440000.0,192.0,4,Ariana,Appart
490000.0,120.0,2,Nabeul,Appart
1270000.0,500.0,3,Nabeul,House
2300000.0,600.0,3,Nabeul,House
260000.0,90.0,2,Nabeul,Appart
220000.0,70.0,1,Nabeul,Appart
1500000.0,400.0,4,Nabeul,House
850000.0,160.0,3,Tunis,Appart
890000.0,300.0,4,Nabeul,House
500000.0,56.0,1,Tunis,Appart
3000000.0,395.0,4,Tunis,House
510000.0,163.0,3,Nabeul,Appart
340000.0,100.0,2,Nabeul,Appart
900000.0,400.0,4,Nabeul,House
1500000.0,270.0,4,Nabeul,House
650000.0,149.0,3,Tunis,Appart
2050000.0,300.0,5,Tunis,House
980000.0,231.0,4,Tunis,Appart
750000.0,159.0,3,Tunis,Appart
325000.0,65.0,1,Tunis,Appart
470000.0,127.0,2,Nabeul,Appart
290000.0,63.0,1,Nabeul,Appart
1150000.0,540.0,7,Sousse,House
168000.0,80.0,2,Sousse,Appart
420000.0,170.0,3,Mednine,House
80000.0,200.0,3,Nabeul,House
1580000.0,236.0,3,Tunis,House
740000.0,203.0,3,Ariana,Appart
420000.0,165.0,3,Sousse,Appart
475000.0,146.0,3,Sousse,Appart
630000.0,286.0,4,Sousse,House
300000.0,105.0,2,Sousse,Appart
540000.0,167.0,3,Sousse,Appart
380000.0,97.0,2,Tunis,Appart
910000.0,300.0,3,Mahdia,House
1990000.0,711.0,16,Ariana,House
360000.0,90.0,2,Nabeul,Appart
3000000.0,900.0,5,Tunis,House
375000.0,142.0,3,Manouba,Appart
390000.0,113.0,2,Tunis,Appart
1800000.0,310.0,4,Tunis,House
1300000.0,243.0,2,Tunis,Appart
950000.0,170.0,5,Tunis,House
108000.0,80.0,2,Tunis,Appart
1800000.0,650.0,5,Tunis,House
1440000.0,500.0,5,Sfax,House
950000.0,322.0,3,Tunis,House
340000.0,70.0,2,Nabeul,Appart
700000.0,225.0,4,Tunis,Appart
1900000.0,557.0,3,Tunis,House
592000.0,186.0,3,Tunis,Appart
380000.0,175.0,4,Nabeul,Appart
165000.0,36.0,1,Nabeul,Appart
700000.0,250.0,3,Tunis,House
755000.0,168.0,3,Tunis,Appart
610000.0,370.0,6,Monastir,House
445000.0,119.0,3,Nabeul,Appart
1179900.0,340.0,5,Ariana,House
1399000.0,500.0,4,Tunis,Appart
327000.0,72.0,1,Nabeul,Appart
450000.0,135.0,3,Nabeul,Appart
436000.0,135.0,2,Nabeul,Appart
560000.0,158.0,2,Nabeul,Appart
378000.0,102.0,2,Nabeul,Appart
350000.0,111.0,4,Tunis,Appart
580000.0,200.0,3,Nabeul,House
1750000.0,485.0,4,Tunis,House
850000.0,305.0,5,Tunis,House
325000.0,134.0,3,Tunis,Appart
220000.0,66.0,2,Tunis,Appart
350000.0,220.0,1,Nabeul,House
230000.0,70.0,2,Nabeul,House
220000.0,135.0,2,Nabeul,House
880000.0,340.0,4,Nabeul,House
760000.0,320.0,4,Nabeul,House
780000.0,208.0,3,Nabeul,House
850000.0,250.0,4,Nabeul,House
900000.0,450.0,5,Nabeul,House
1200000.0,640.0,6,Nabeul,House
450000.0,140.0,3,Nabeul,House
6600000.0,450.0,4,Nabeul,House
700000.0,500.0,10,Ben Arous,House
350000.0,91.0,2,Nabeul,Appart
480000.0,230.0,3,Ariana,House
850000.0,520.0,7,Tunis,House
120000.0,98.0,3,Tunis,Appart
575000.0,175.0,3,Ariana,Appart
215000.0,100.0,3,Ariana,Appart
256000.0,58.0,1,Nabeul,Appart
530000.0,141.0,3,Nabeul,Appart
570000.0,230.0,2,Nabeul,Appart
2700000.0,820.0,6,Nabeul,House
300000.0,78.0,2,Nabeul,Appart
800000.0,340.0,4,Nabeul,House
205000.0,59.0,1,Ariana,Appart
980000.0,200.0,3,Tunis,Appart
939000.0,322.0,6,Tunis,House
2100000.0,350.0,3,Tunis,House
2700000.0,650.0,4,Tunis,Appart
720000.0,200.0,3,Nabeul,House
1050000.0,440.0,4,Nabeul,House
385000.0,57.0,1,Tunis,Appart
2200000.0,550.0,4,Tunis,House
950000.0,450.0,6,Zaghouan,House
386100.0,143.0,2,Ariana,Appart
576000.0,118.0,2,Tunis,Appart
590000.0,110.0,2,Tunis,Appart
595000.0,147.0,3,Tunis,Appart
1200000.0,400.0,7,Ariana,House
150000.0,40.0,1,Tunis,Appart
450000.0,103.0,3,Ariana,House
160000.0,60.0,1,Tunis,Appart
160000.0,65.0,1,Tunis,Appart
140000.0,75.0,2,Ariana,Appart
210000.0,180.0,3,Nabeul,House
1200000.0,400.0,5,Nabeul,House
330000.0,89.0,1,Nabeul,Appart
250000.0,319.0,4,Sousse,House
220000.0,78.0,2,Nabeul,Appart
220000.0,105.0,3,Nabeul,House
1200000.0,430.0,6,Nabeul,House
256000.0,64.0,1,Nabeul,Appart
1200000.0,440.0,12,Nabeul,House
524000.0,117.0,2,Nabeul,Appart
400000.0,130.0,3,Nabeul,Appart
420000.0,105.0,2,Nabeul,Appart
280000.0,106.0,2,Nabeul,Appart
395000.0,104.0,2,Nabeul,Appart
700000.0,180.0,1,Nabeul,Appart
1300000.0,240.0,3,Tunis,House
1350000.0,220.0,3,Tunis,Appart
3900000.0,1081.0,8,Tunis,House
525000.0,131.0,2,Tunis,Appart
685000.0,204.0,3,Nabeul,House
890000.0,280.0,4,Nabeul,House
950000.0,230.0,3,Tunis,Appart
1350000.0,210.0,3,Tunis,House
2000000.0,450.0,3,Tunis,House
450000.0,186.0,7,Tunis,House
140000.0,85.0,2,Tunis,Appart
390000.0,140.0,5,Tunis,House
310000.0,100.0,2,Nabeul,Appart
250000.0,68.0,1,Tunis,Appart
750000.0,600.0,10,Nabeul,House
1000000.0,250.0,3,Nabeul,House
390000.0,116.0,2,Tunis,Appart
650000.0,145.0,3,Tunis,Appart
420000.0,177.0,2,Sousse,House
1033000.0,173.0,3,Tunis,Appart
595000.0,110.0,2,Tunis,Appart
228000.0,50.0,1,Tunis,Appart
360000.0,105.0,2,Sousse,Appart
350000.0,120.0,6,Nabeul,House
1870000.0,335.0,6,Tunis,House
460000.0,120.0,2,Sousse,Appart
380000.0,130.0,3,Sousse,Appart
770000.0,151.0,4,Sousse,House
190000.0,36.0,1,Sousse,Appart
350000.0,45.0,1,Sousse,Appart
220000.0,61.0,1,Ariana,Appart
509000.0,146.0,2,Ariana,Appart
279900.0,134.0,3,Ariana,Appart
390000.0,160.0,3,Sousse,Appart
440000.0,116.0,3,Sousse,Appart
1250000.0,300.0,3,Tunis,House
2000000.0,900.0,7,Ariana,House
390000.0,135.0,2,Tunis,Appart
1850000.0,405.0,4,Tunis,House
450000.0,135.0,3,Nabeul,Appart
830000.0,320.0,4,Nabeul,House
217600.0,68.0,1,Sousse,Appart
370000.0,147.0,3,Ariana,Appart
380000.0,175.0,3,Tunis,Appart
450000.0,145.0,3,Nabeul,House
1150000.0,590.0,6,Nabeul,House
450000.0,130.0,2,Nabeul,Appart
335000.0,103.0,2,Nabeul,Appart
680000.0,150.0,4,Ben Arous,Appart
400000.0,155.0,3,Ariana,House
500000.0,150.0,3,Ariana,Appart
1500000.0,459.0,4,Ariana,House
750000.0,170.0,6,Ben Arous,House
700000.0,300.0,6,Ben Arous,House
1800000.0,284.0,3,Tunis,House
650000.0,135.0,3,Nabeul,Appart
680000.0,131.0,3,Nabeul,Appart
1800000.0,200.0,16,Gafsa,House
1200000.0,474.0,6,Ariana,House
400000.0,380.0,5,Ariana,House
404000.0,143.0,2,Ariana,Appart
411000.0,147.0,3,Ariana,Appart
2300000.0,460.0,5,Ariana,House
480000.0,330.0,5,Ariana,House
650000.0,428.0,3,Ariana,House
520000.0,280.0,5,Ariana,House
1000000.0,500.0,6,Ariana,House
1200000.0,600.0,5,Ariana,House
450000.0,350.0,3,Ariana,House
850000.0,225.0,3,Ariana,House
600000.0,625.0,5,Ariana,House
2200000.0,500.0,6,Ariana,House
800000.0,135.0,4,Ben Arous,Appart
1600000.0,700.0,5,Ben Arous,House
750000.0,370.0,6,Ben Arous,House
2800000.0,702.0,9,Ariana,House
600000.0,700.0,6,Ariana,House
690000.0,450.0,5,Ariana,House
470000.0,150.0,9,Ben Arous,House
290000.0,200.0,2,Ariana,House
514000.0,400.0,7,Ariana,House
3300000.0,500.0,4,Ariana,House
1500000.0,510.0,8,Ben Arous,House
900000.0,500.0,5,Nabeul,House
720000.0,600.0,8,Ben Arous,House
1200000.0,505.0,8,Ben Arous,House
750000.0,240.0,6,Ben Arous,House
700000.0,160.0,4,Ariana,House
900000.0,400.0,7,Ariana,House
870000.0,470.0,5,Ariana,Appart
1000000.0,511.0,5,Ben Arous,House
870000.0,260.0,3,Ben Arous,House
1200000.0,768.0,16,Ariana,Appart
700000.0,631.0,5,Ariana,House
800000.0,413.0,4,Ben Arous,House
600000.0,200.0,3,Ariana,House
640000.0,740.0,4,Ariana,House
920000.0,242.0,6,Ariana,House
2000000.0,514.0,6,Ariana,House
487200.0,174.0,3,Ariana,Appart
1750000.0,800.0,6,Ariana,House
1200000.0,240.0,5,Ariana,House
205000.0,57.0,1,Tunis,Appart
230000.0,101.0,2,Nabeul,Appart
200000.0,60.0,1,Sousse,Appart
1500000.0,700.0,4,Mednine,House
330000.0,100.0,2,Sousse,Appart
190000.0,56.0,1,Ariana,Appart
280000.0,90.0,2,Tunis,Appart
550000.0,500.0,3,Manouba,House
675000.0,240.0,4,Nabeul,House
780000.0,250.0,3,Nabeul,House
140000.0,95.0,1,Nabeul,Appart
360000.0,130.0,2,Tunis,Appart
570000.0,250.0,4,Nabeul,House
245000.0,65.0,1,Nabeul,Appart
464000.0,188.0,2,Tunis,Appart
300000.0,100.0,2,Nabeul,Appart
2500000.0,950.0,4,Sousse,House
2100000.0,400.0,6,Nabeul,House
390000.0,116.0,2,Nabeul,Appart
490000.0,205.0,3,Mednine,House
350000.0,130.0,3,Mednine,House
980000.0,640.0,5,Nabeul,House
470000.0,299.0,5,Nabeul,House
120000.0,65.0,2,Tunis,Appart
400000.0,97.0,2,Nabeul,Appart
600000.0,135.0,2,Nabeul,Appart
1050000.0,400.0,4,Nabeul,House
600000.0,155.0,3,Nabeul,House
120000.0,999.0,4,Nabeul,Appart
1600000.0,500.0,4,Tunis,House
1090000.0,228.0,4,Ariana,House
370000.0,400.0,3,Mednine,House
890000.0,340.0,4,Nabeul,House
1290000.0,600.0,9,Ariana,House
720000.0,220.0,3,Nabeul,House
160000.0,56.0,1,Sousse,Appart
350000.0,91.0,2,Nabeul,Appart
440000.0,130.0,2,Nabeul,Appart
1500000.0,800.0,20,Tunis,House
440000.0,138.0,2,Sousse,Appart
600000.0,161.0,4,Sousse,Appart
1500000.0,667.0,12,Sousse,House
1010000.0,570.0,4,Sousse,House
1500000.0,670.0,3,Sousse,House
977000.0,575.0,6,Sousse,House
1100000.0,350.0,6,Ariana,House
215000.0,64.0,1,Nabeul,Appart
395000.0,265.0,3,Nabeul,House
600000.0,112.0,2,Monastir,Appart
650000.0,189.0,3,Tunis,Appart
950000.0,500.0,3,Tunis,House
810000.0,690.0,7,Tunis,House
2550000.0,680.0,7,Tunis,House
655000.0,189.0,3,Tunis,Appart
280000.0,65.0,2,Tunis,Appart
1350000.0,224.0,4,Tunis,Appart
650000.0,1000.0,5,Nabeul,House
110000.0,200.0,3,Ariana,House
480000.0,250.0,5,Ariana,House
715000.0,193.0,3,Tunis,House
340000.0,90.0,2,Sousse,Appart
350000.0,145.0,3,Sousse,Appart
540000.0,158.0,3,Nabeul,Appart
275000.0,100.0,3,Sousse,Appart
760000.0,280.0,4,Nabeul,House
235000.0,56.0,1,Nabeul,Appart
870000.0,290.0,4,Nabeul,House
730000.0,250.0,3,Nabeul,House
980000.0,360.0,5,Nabeul,House
480000.0,128.0,2,Nabeul,Appart
985000.0,600.0,4,Ariana,House
520000.0,240.0,3,Nabeul,Appart
310000.0,225.0,2,Tunis,Appart
180000.0,100.0,2,Nabeul,Appart
590000.0,200.0,5,Tunis,House
415000.0,65.0,1,Tunis,Appart
160000.0,65.0,1,Tunis,Appart
680000.0,110.0,2,Tunis,Appart
1071000.0,170.0,3,Tunis,Appart
1181000.0,420.0,6,Ariana,House
159000.0,65.0,2,Sousse,Appart
152000.0,170.0,8,Tunis,Appart
700000.0,240.0,3,Nabeul,House
140000.0,180.0,2,Nabeul,House
400000.0,120.0,2,Tunis,Appart
1750000.0,700.0,10,Nabeul,House
700000.0,507.0,4,Nabeul,House
1300000.0,5500.0,3,Nabeul,House
1080000.0,600.0,7,Ariana,House
950000.0,200.0,4,Tunis,Appart
1659000.0,587.0,4,Ariana,House
530000.0,130.0,3,Nabeul,Appart
355000.0,129.0,3,Ariana,Appart
750000.0,248.0,5,Nabeul,House
225000.0,67.0,1,Ariana,Appart
150000.0,100.0,3,Tunis,Appart
200000.0,73.0,1,Tunis,Appart
755000.0,212.0,3,Sousse,Appart
890000.0,340.0,4,Nabeul,House
770000.0,220.0,4,Nabeul,House
295000.0,114.0,2,Tunis,Appart
1200000.0,200.0,4,Tunis,House
320000.0,175.0,3,Kairouan,House
1500000.0,155.0,3,Tunis,House
229000.0,57.0,1,Ariana,Appart
350000.0,130.0,3,Ariana,Appart
890000.0,300.0,4,Nabeul,House
128000.0,60.0,2,Tunis,Appart
830000.0,2200.0,3,Tunis,House
320000.0,157.0,4,Ariana,Appart
450000.0,125.0,2,Nabeul,Appart
500000.0,62.0,1,Tunis,Appart
1100000.0,185.0,4,Tunis,Appart
512198.0,88.0,2,Tunis,Appart
916777.0,156.0,3,Tunis,Appart
260000.0,95.0,2,Nabeul,Appart
450000.0,128.0,2,Nabeul,Appart
240000.0,70.0,1,Nabeul,Appart
150000.0,57.0,2,Manouba,Appart
1780000.0,223.0,3,Tunis,Appart
1800000.0,327.0,4,Tunis,Appart
340000.0,120.0,2,Sousse,Appart
400000.0,135.0,3,Sousse,Appart
