price,surface,rooms,governorate,property_type,log_price,log_surface
1100000.0,350.0,3,Nabeul,House,13.910821646859095,5.860786223465865
1050000.0,280.0,4,Nabeul,House,13.864301674514206,5.638354669333745
1700000.0,130.0,4,Nabeul,House,14.346139397261565,4.875197323201151
230000.0,1400.0,3,Nabeul,House,12.345838935721968,7.244941546337007
320000.0,150.0,3,Ben Arous,House,12.676079399771027,5.017279836814924
382000.0,100.0,2,Nabeul,Appart,12.853178505386333,4.61512051684126
268000.0,57.0,1,Nabeul,Appart,12.498745990829315,4.060443010546419
690000.0,385.0,3,Nabeul,House,13.444448325847754,5.955837369464831
390000.0,132.0,2,Nabeul,Appart,12.873904582205107,4.890349128221754
630000.0,90.0,2,Tunis,House,13.353476685668044,4.51085950651685
230000.0,100.0,2,Nabeul,Appart,12.345838935721968,4.61512051684126
1190000.0,365.0,5,Nabeul,House,13.989464705423494,5.902633333401366
860000.0,500.0,5,Nabeul,House,13.664688831019712,6.2166061010848646
160000.0,75.0,2,Nabeul,Appart,11.982935344196433,4.330733340286331
220000.0,170.0,3,Nabeul,House,12.301387370778713,5.14166355650266
230000.0,106.0,2,Nabeul,Appart,12.345838935721968,4.672828834461906
590000.0,156.0,3,Nabeul,Appart,13.28787951079572,5.056245805348308
250000.0,200.0,3,Nabeul,Appart,12.429220196836383,5.303304908059076
1800000.0,600.0,8,Nabeul,House,14.403297778421795,6.398594934535208
400000.0,240.0,2,Nabeul,Appart,12.899222326086994,5.484796933490655
1238000.0,188.0,3,Tunis,Appart,14.029008539980795,5.241747015059643
165000.0,55.0,1,Nabeul,Appart,12.013706813470414,4.02535169073515
1250000.0,360.0,3,Nabeul,House,14.038654909278163,5.8888779583328805
480000.0,280.0,5,Nabeul,House,13.081543466215237,5.638354669333745
370000.0,200.0,3,Nabeul,House,12.821260987319457,5.303304908059076
864000.0,149.0,2,Tunis,Appart,13.66932920519293,5.0106352940962555
472000.0,132.0,3,Tunis,Appart,13.064736383209516,4.890349128221754
420000.0,75.0,1,Tunis,Appart,12.948012371209098,4.330733340286331
980000.0,275.0,4,Tunis,Appart,13.795308871054397,5.62040086571715
582000.0,176.0,2,Ariana,Appart,13.274227444925158,5.176149732573829
420000.0,512.0,2,Nabeul,House,12.948012371209098,6.240275845170769
1500000.0,680.0,4,Nabeul,House,14.220976332738882,6.523562306149512
360000.0,204.0,4,Nabeul,House,12.793862088206213,5.3230099791384085
230000.0,177.0,2,Nabeul,House,12.345838935721968,5.181783550292085
260000.0,77.0,2,Nabeul,Appart,12.468440756144114,4.356708826689592
120000.0,50.0,1,Nabeul,Appart,11.695255355062795,3.9318256327243257
790000.0,725.0,6,Kairouan,House,13.579789490265188,6.587550014824796
160000.0,79.0,2,Kairouan,Appart,11.982935344196433,4.382026634673881
433000.0,150.0,3,Tunis,Appart,12.978495316450783,5.017279836814924
570000.0,156.0,2,Tunis,Appart,13.25339339419516,5.056245805348308
680000.0,131.0,2,Tunis,Appart,13.429849547739444,4.882801922586371
209000.0,83.0,1,Tunis,Appart,12.250094315624496,4.430816798843313
2100000.0,331.0,4,Tunis,House,14.557448378884015,5.805134968916488
650000.0,130.0,2,Nabeul,House,13.384729180332174,4.875197323201151
210000.0,145.0,3,Nabeul,House,12.25486757159303,4.983606621708336
330000.0,300.0,3,Nabeul,House,12.706850963741102,5.707110264748875
165000.0,90.0,2,Nabeul,Appart,12.013706813470414,4.51085950651685
240000.0,216.0,2,Nabeul,House,12.388398368982115,5.37989735354046
412000.0,103.0,2,Ariana,Appart,12.928781055513184,4.6443908991413725
650000.0,170.0,3,Ariana,Appart,13.384729180332174,5.14166355650266
478000.0,128.0,3,Ariana,Appart,13.077368103521614,4.859812404361672
2500000.0,1150.0,2,Tunis,Appart,14.731801689838349,7.048386408721883
280000.0,88.0,2,Sfax,Appart,12.54254845357358,4.48863636973214
527000.0,128.0,3,Ariana,Appart,13.174957725054906,4.859812404361672
220000.0,47.0,1,Ariana,Appart,12.301387370778713,3.871201010907891
2700000.0,400.0,9,Nabeul,House,14.80876270134486,5.993961427306569
570000.0,217.0,3,Tunis,Appart,13.25339339419516,5.384495062789089
1200000.0,305.0,4,Ben Arous,House,13.997832948091215,5.723585101952381
580000.0,200.0,2,Mednine,House,13.270785106659046,5.303304908059076
370000.0,86.0,2,Ariana,Appart,12.821260987319457,4.465908118654584
