chambres,prix,source,surface,titre,type_bien,type_transaction,ville
2,180000.0,tayara,80.0,maison,House,À Vendre,Sfax
2,180000.0,tayara,80.0,maison,House,À Vendre,Sfax
2,180000.0,tayara,80.0,maison,House,À Vendre,Sfax
3,329997.0,tayara,200.0,villa route de mansoura kelibia a vendre,House,À Vendre,Tunis
4,850000.0,tayara,285.0,À Vendre une Superbe Villa Haut Standing à Route de Relais -Gammarth,House,À Vendre,Tunis
2,295000.0,tayara,113.5,un très chic appartement de type S2 à Sahloul 4 RC,Appart,À Vendre,Sousse
2,270000.0,tayara,94.0,"A vendre très bel Appart S2, avec place de parking sous sol à cité les palmiers , Laouina, Soukra",Appart,À Vendre,Tunis
2,270000.0,tayara,94.0,"A vendre très bel Appart S2, avec place de parking sous sol à cité les palmiers , Laouina, Soukra",Appart,À Vendre,Tunis
3,320000.0,tayara,135.0,A vendre un appartement s3 avec place de parking sous-sol dans une nouvelle résidence a laouina proche de toutes commodités,Appart,À Vendre,Tunis
3,185000.0,tayara,92.0,S2 avec titre bleu,Appart,À Vendre,Ariana
8,1300000.0,tayara,380.0,Villa 2 niveaux titrée Ennasr 2,House,À Vendre,Ariana
2,140000.0,tayara,70.0,A Vendre S2 Cornichr,Appart,À Vendre,Sousse
1,160000.0,tayara,69.0,A vendre un appartement s1 neuf à la nouvelle madina 3,Appart,À Vendre,Ben Arous
2,370000.0,tayara,120.0,A Vendre S2 Panorama,Appart,À Vendre,Sousse
2,350000.0,tayara,116.0,Appartement s2 Cite Laouina,Appart,À Vendre,Tunis
3,245000.0,tayara,400.0,AV villa non fini à hammamet sud 99202001,House,À Vendre,Nabeul
2,70000.0,tayara,75.0,Appartement s2 au quatrième étage à Riadh 5,Appart,À Vendre,Sousse
1,295000.0,tayara,72.0,S1 S2 S3 direct promoteur a jardin de Carthage,Appart,À Vendre,Tunis
3,400000.0,tayara,150.0,"A vendre un appartement s3 à bhar lazrak , la Marsa",Appart,À Vendre,Tunis
5,325000.0,tayara,114.0,للبيع منزل مستقل بـ حي رياض 1,House,À Vendre,Sousse
370000,370000.0,tayara,224.0,vente ou échange Mrezga Nabeul,House,À Vendre,Nabeul
2,245000.0,tayara,113.0,À vendre : Appartement S2,Appart,À Vendre,Ben Arous
3,130000.0,tayara,65.0,Appartement à vendre à Ben Arous.,Appart,À Vendre,Ben Arous
5,700000.0,tayara,925.0,a vendre villa s4 a sakiet ezzit,House,À Vendre,Sfax
4,310000.0,tayara,180.0,À vendre : Superbe duplex à la Nouvelle Médina 3,House,À Vendre,Ben Arous
2,412000.0,tayara,112.0,Appartement s2 à vendre à cité jardins,Appart,À Vendre,Tunis
7,890000.0,tayara,781.0,Villa à vendre à Montfleury,House,À Vendre,Tunis
5,890000.0,tayara,210.0,Villa jumelée à vendre à Chotrana 1,House,À Vendre,Ariana
2,267000.0,tayara,67.0,Appartement S1 à vendre direct promoteur à cité jardins,Appart,À Vendre,Tunis
3,700000.0,tayara,485.0,maison a megrine riadh pres المعهد الأعلى للقضاء bon emplacement,House,À Vendre,Ben Arous
2,80000.0,tayara,65.0,"À Vendre Appartement RDC à Riadh 5, Près de Toutes Commodités !",Appart,À Vendre,Sousse
6,650000.0,tayara,520.0,Villa de 514 m² à Borj Cedria,House,À Vendre,Ben Arous
4,480000.0,tayara,185.0,Maison à la Cité AFH de Borj Cedria,House,À Vendre,Ben Arous
3,750000.0,tayara,422.0,"À VENDRE Terrain avec villa, un grand jardin et studio indépendant",House,À Vendre,Ben Arous
2,350000.0,tayara,100.0,Appel au Investisseurs ! À Vendre S2 au Centre Urbain Nord,Appart,À Vendre,Tunis
3,550000.0,tayara,220.0,Maison meublée à vendre à Djerba Arko,House,À Vendre,Mdenine
1,160000.0,tayara,39.0,JARDINS DEL MENZAH 2 :APPARTEMENT S0 A VENDRE,Appart,À Vendre,Ariana
1,115000.0,tayara,49.0,A vendre appartement s1 meublé à Bouchoucha,Appart,À Vendre,Tunis
4,1250000.0,tayara,367.0,ENNASR 1 : VILLA A VENDRE,House,À Vendre,Ariana
1,225000.0,tayara,60.0,ENNASR 2 : APPARTEMENT S1 A VENDRE,Appart,À Vendre,Ariana
3,3200000.0,tayara,126.0,ENNASR 2 : APPARTEMENT S3 À VENDRE,Appart,À Vendre,Ariana
8,780000.0,tayara,500.0,GHAZELLA VILLA À VENDRE SUR DEUX NIVEAUX SÉPARÉS,House,À Vendre,Ariana
6,1600000.0,tayara,590.0,RIADH EL ANDALOUS : UNE VILLA S6 À VENDRE,House,À Vendre,Ariana
3,120000.0,tayara,75.0,à vendre,Appart,À Vendre,Tunis
3,480000.0,tayara,307.0,منزل مجدد 2023,House,À Vendre,Sousse
1,650.0,tayara,68.0,S1 à louer Sfax Rte Soukra,Appart,À Vendre,Sfax
0,379999.0,tayara,435.0,Maison à vendre à hammem el ghezez,House,À Vendre,Nabeul
