chambres,prix,source,surface,titre,type_bien,type_transaction,ville
4,750000.0,immobilier,206.0,Appartement aux berges du lac,Appart,À Vendre,Tunis
5,4200.0,immobilier,525.0,Villa à gammarth supérieur,Appart,À Vendre,Tunis
5,1700000.0,immobilier,525.0,Villa à gammarth supérieur,Appart,À Vendre,Tunis
3,1200.0,immobilier,240.0,Rdc de villa à la marsa corniche,Appart,À Vendre,Tunis
4,2500.0,immobilier,160.0,S3 à marsa les pins,Appart,À Vendre,Tunis
3,4500.0,immobilier,150.0,S2 meublé avec vue panoramique,Appart,À Vendre,Tunis
5,4800.0,immobilier,420.0,Duplex avec jardin de 420m2 les berges du lac,House,À Vendre,
5,4500.0,immobilier,370.0,Duplex avec jardin au berges du lac 1,House,À Vendre,
3,1150.0,immobilier,91.0,Appartement villa s2 à ain zaghouan,Appart,À Vendre,Tunis
4,3500.0,immobilier,150.0,Duplex jumelé avec jardin au lac 2,House,À Vendre,Tunis
4,1200000.0,immobilier,200.0,Appartement s3 200m2 les berges du lac 1,Appart,À Vendre,Tunis
5,17000.0,immobilier,800.0,Villa à gammarth supèrieur,House,À Vendre,Tunis
5,3500.0,immobilier,220.0,S4 à gammarth,Appart,À Vendre,
2,1800.0,immobilier,80.0,S1 meublé à la marsa,Appart,À Vendre,Tunis
5,2000.0,immobilier,400.0,Opportunité à ne pas rater,House,À Vendre,Tunis
2,1600.0,immobilier,100.0,S2 meublévide au centre urbain nord,Appart,À Vendre,Tunis
2,3400.0,immobilier,80.0,Loft à la marsa,Appart,À Vendre,Tunis
4,375000.0,immobilier,165.0,Appartement s3 à la soukra,Appart,À Vendre,Ariana
3,1300000.0,immobilier,260.0,Duplex s3 à gammarth supérieur,Appart,À Vendre,Tunis
3,1600.0,immobilier,123.0,Appartement s2 meublé- ennaser 2,Appart,À Vendre,Ariana
4,1400.0,immobilier,170.0,S3 à la marsa,Appart,À Vendre,Tunis
3,390000.0,immobilier,100.0,S2 au rdc - lac 2,Appart,À Vendre,Tunis
4,5000.0,immobilier,410.0,Villa à la marsa,House,À Vendre,Tunis
4,2500.0,immobilier,220.0,Appartement s3 à gammarth,Appart,À Vendre,Tunis
4,3000.0,immobilier,131.0,Rent a s 3 with a large terrace at the lake 1,Appart,À Vendre,Tunis
2,1500.0,immobilier,95.0,S1 neuf à la marsa,Appart,À Vendre,Tunis
4,1800.0,immobilier,200.0,Étage de villa s3 à mutuelle ville,Appart,À Vendre,Tunis
4,2200.0,immobilier,150.0,S3 meublé à la marsa,Appart,À Vendre,Tunis
4,590000.0,immobilier,261.0,S3 à la marsa,Appart,À Vendre,
5,6500.0,immobilier,800.0,Villa s6 à gammarth,House,À Vendre,
3,2500.0,immobilier,160.0,Rdc de villla s2 avec jardin,Appart,À Vendre,Tunis
4,4500.0,immobilier,180.0,Unique appartement vue mer,Appart,À Vendre,Tunis
3,1000.0,immobilier,110.0,Appartement s2 à gammarth,Appart,À Vendre,Tunis
5,4000.0,immobilier,500.0,Villa à gammarth,House,À Vendre,Tunis
5,1800000.0,immobilier,600.0,Villa à gammarth,House,À Vendre,Tunis
3,1200.0,immobilier,190.0,S2 190m2 à ain zaghouan nord,Appart,À Vendre,Tunis
5,2700.0,immobilier,200.0,S4 à la marsa,Appart,À Vendre,Tunis
4,3500.0,immobilier,220.0,Appartement à la marsa,Appart,À Vendre,Tunis
3,1500.0,immobilier,70.0,Etage de villa à gammarth supérieur,Appart,À Vendre,Tunis
5,2500000.0,immobilier,400.0,Villa avec piscine au lac1,House,À Vendre,Tunis
5,2500000.0,immobilier,620.0,Villa a mandes france mutuelle ville,House,À Vendre,Tunis
4,3000.0,immobilier,170.0,S3 meublé à marsa ville,Appart,À Vendre,Tunis
4,780000.0,immobilier,180.0,S3 spacieux aux lac 2,Appart,À Vendre,Tunis
5,840000.0,immobilier,450.0,Triplex à la marsa,Appart,À Vendre,Tunis
3,700000.0,immobilier,130.0,S2 neuf à gammarth,Appart,À Vendre,Tunis
3,2500.0,immobilier,130.0,S2 meublé à gammarth,Appart,À Vendre,
5,3800.0,immobilier,450.0,Villa avec jardin- ennasser 1,House,À Vendre,Ariana
3,1300.0,immobilier,150.0,Duplex à sidi bou said,House,À Vendre,Tunis
4,3000.0,immobilier,207.0,Appartement à la marsa,Appart,À Vendre,Tunis
4,4500.0,immobilier,230.0,Etage de villa à gammarth,Appart,À Vendre,Tunis
2,2000.0,immobilier,70.0,Appartement à la marsa corniche,Appart,À Vendre,Tunis
5,2500.0,immobilier,450.0,Villa à carthage,House,À Vendre,Tunis
