chambres,prix,source,surface,titre,type_bien,type_transaction,ville
4,1700000.0,mubawab,130.0,"Splendid villa for sale in Hammamet. Area 130 m². View facing the sea, central air conditioning.",House,À Vendre,Hammamet
3,230000.0,mubawab,1400.0,House for sale. 3 beautiful rooms. Carpark and garden.,House,À Vendre,Kélibia
3,655000.0,mubawab,470.0,House for sale in El Mourouj 6.4 large living areas. Beautiful terrace and garden,House,À Vendre,El Mourouj
3,320000.0,mubawab,150.0,"Fabulous villa for sale in Ben Arous. 3 beautiful rooms. Green areas, Balcony",House,À Vendre,Ben Arous
2,382000.0,mubawab,100.0,Find an apartment to buy in Cité El Wafa. Small area 100 m². Private garage,Appart,À Vendre,Nabeul
1,268000.0,mubawab,57.0,Apartment for sale in Hammamet. 1 Living area. Basement,Appart,À Vendre,Hammamet
3,690000.0,mubawab,385.0,House to buy in Hammamet. 3 lovely rooms. Balcony,House,À Vendre,Hammamet
2,390000.0,mubawab,132.0,Fabulous apartment for sale in Hammamet Nord. Surface area 132 m². Residence with security,Appart,À Vendre,Hammamet
2,630000.0,mubawab,90.0,Apartment for rent in La Goulette. Small area 85 m². Furnished,House,À Vendre,Carthage
2,230000.0,mubawab,100.0,"Fabulous apartment for sale. 2 lovely rooms. No Lift, Large terrace",Appart,À Vendre,Kélibia
2,645000.0,mubawab,219.0,Sell apartment. 2 beautiful rooms. Swimming pool and air conditioning,Appart,À Vendre,Bizerte
11,1200000.0,mubawab,560.0,Fabulous house for sale in Ben Arous. 11 lovely rooms. Parking spaces and garden,House,À Vendre,Ben Arous
16,2500000.0,mubawab,1700.0,House to buy in Mégrine. 16 lovely rooms. General air conditioning,House,À Vendre,Mégrine
5,1190000.0,mubawab,365.0,"Fabulous villa for sale. Area 365 m². Cellar, Large terrace.",House,À Vendre,Kélibia
5,860000.0,mubawab,500.0,"Fabulous house for sale. 5 lovely rooms. Residence with swimming pool, Air conditioning.",House,À Vendre,Kélibia
2,160000.0,mubawab,75.0,Fabulous apartment for sale. 2 rooms,Appart,À Vendre,Kélibia
3,220000.0,mubawab,170.0,Magnificent villa for sale. 5 rooms. Well equipped kitchen,House,À Vendre,Kélibia
2,230000.0,mubawab,106.0,Apartment to purchase. 2 rooms. Beautiful terrace,Appart,À Vendre,Kélibia
3,590000.0,mubawab,156.0,"Apartment for sale in Nabeul. Dimension 156 m². Green areas, Parking spaces for cars",Appart,À Vendre,Nabeul
3,250000.0,mubawab,200.0,Apartment for sale. 3 lovely rooms. Basement,Appart,À Vendre,Kélibia
4,3500000.0,mubawab,909.0,High quality villa for sale in Beni Khiar. Dimension 909 m².,House,À Vendre,Beni Khiar
8,1800000.0,mubawab,600.0,Beautiful house for sale. Dimension 600 m². Garage and terrace,House,À Vendre,Kélibia
2,400000.0,mubawab,240.0,Sale of a lovely apartment. 3 large living areas. Terrace and garden,Appart,À Vendre,Kélibia
2,277000.0,mubawab,96.0,Sale of a lovely apartment in Sousse Jaouhara. Small area 96 m²,Appart,À Vendre,Sousse Jaouhara
3,1238000.0,mubawab,188.0,Apartment to purchase in Les Jardins de Carthage. 3 lovely rooms. Reinforced door and secured residence,Appart,À Vendre,Le Kram
2,430000.0,mubawab,110.0,Find an apartment to buy in Chotrana 1.3 large rooms. Double glazed windows and central heating,Appart,À Vendre,La Soukra
2,199000.0,mubawab,75.0,Apartment to purchase. 3 large rooms. Security,Appart,À Vendre,Hammam El Ghezaz
2,230000.0,mubawab,103.0,Find an apartment to buy. 3 rooms. Well decorated.,Appart,À Vendre,Hammam El Ghezaz
1,165000.0,mubawab,55.0,Beautiful apartment for sale. 1 lovely room. Cellar.,Appart,À Vendre,Kélibia
3,1250000.0,mubawab,360.0,"Fabulous villa for sale in Hammamet Nord. 3 lovely rooms. Double glazed window, Central air conditioning.",House,À Vendre,Hammamet
3,149000.0,mubawab,826.0,Luxury home for sale. Surface area 826 m². Stunning view of the mountains.,House,À Vendre,El Haouaria
1,85000.0,mubawab,70.0,Fabulous apartment for sale. 1 room.,Appart,À Vendre,Hammam El Ghezaz
1,88000.0,mubawab,110.0,House for sale. Area of 110 m². Balcony,House,À Vendre,El Haouaria
5,480000.0,mubawab,280.0,"Fabulous house for sale. Dimension 280 m². Cellar, Large terrace",House,À Vendre,Kélibia
3,370000.0,mubawab,200.0,"Luxury Villa for sale. 3 beautiful rooms. Green areas, Parking spaces for cars",House,À Vendre,Kélibia
2,240000.0,mubawab,100.0,Apartment for sale. Area 100 m². Balcony,Appart,À Vendre,Hammam Ghezèze
2,864000.0,mubawab,149.0,"Sale of a lovely apartment in Les Jardins de Carthage. Total area 149 m². Secured door, Secured neighbourhood",Appart,À Vendre,Le Kram
3,472000.0,mubawab,132.0,Apartment for sale in Bhar Lazreg. 3 rooms.,Appart,À Vendre,La Marsa
1,420000.0,mubawab,75.0,Apartment to purchase in Les Jardins de Carthage. 1 lovely room. Garage.,Appart,À Vendre,Le Kram
4,980000.0,mubawab,275.0,Sale of a lovely apartment in Gammarth Village. 4 beautiful rooms. Garden and lift,Appart,À Vendre,La Marsa
2,582000.0,mubawab,176.0,Fabulous apartment for sale in Cité el Ghazela. 3 large rooms. Double glazing and central heating,Appart,À Vendre,Raoued
2,420000.0,mubawab,512.0,"Find your house to buy. 2 lovely rooms. Gardeners, Large terrace.",House,À Vendre,Kélibia
4,1500000.0,mubawab,680.0,"Fabulous villa for sale. 4 rooms. Carpark, Balcony",House,À Vendre,Kélibia
4,360000.0,mubawab,204.0,High quality house for sale. 4 lovely rooms. Garden and terrace,House,À Vendre,Kélibia
2,230000.0,mubawab,177.0,"High quality house for sale. 3 large rooms. Green areas, Balcony",House,À Vendre,Kélibia
2,260000.0,mubawab,77.0,Apartment for sale in Hammamet. 5 large living areas. Beautiful terrace,Appart,À Vendre,Hammamet
3,500000.0,mubawab,140.0,Luxury villa for sale. 3 rooms. Parking spaces and terrace,House,À Vendre,Menzel Temime
4,245000.0,mubawab,1331.0,"Home to buy. Total area 1331 m². Gardeners, Large terrace.",House,À Vendre,Hammam El Ghezaz
6,550000.0,mubawab,480.0,Sale of a lovely apartment. 6 rooms. New furniture.,Appart,À Vendre,Hammam El Ghezaz
1,120000.0,mubawab,50.0,Fabulous apartment for sale. 2 rooms. Beautiful terrace,Appart,À Vendre,Kélibia
2,190000.0,mubawab,60.0,Sell apartment. 2 rooms. Excellent sea view,Appart,À Vendre,El Haouaria
6,790000.0,mubawab,725.0,"Luxury Villa for sale in Kairouan Ville. 3 comfortable rooms. Double glazed window, Central air conditioning",House,À Vendre,Kairouan
2,160000.0,mubawab,79.0,"Apartment for sale in Kairouan Ville. Area of 79 m². Secured door, Secured neighbourhood",Appart,À Vendre,Kairouan
3,1400000.0,mubawab,750.0,Magnificent villa for sale. 3 lovely rooms. Double glazed windows and reinforced door,House,À Vendre,Kairouan Sud
3,433000.0,mubawab,150.0,Sell apartment in Ain Zaghouan Nord. Dimension 150 m². Garage and terrace,Appart,À Vendre,La Marsa
2,570000.0,mubawab,156.0,"Sell apartment in Les Jardins de Carthage. Large area 156 m². Cellar, Large terrace",Appart,À Vendre,Le Kram
2,680000.0,mubawab,131.0,"Apartment to purchase in Les Jardins de Carthage. Large area 131 m². General satellite dish system, On site security",Appart,À Vendre,Le Kram
1,209000.0,mubawab,83.0,"Sale of a lovely apartment in Aouina. Large area 83 m². Caretaker service, fireplace",Appart,À Vendre,La Marsa
4,2100000.0,mubawab,331.0,Luxury villa for sale in Gammarth. 6 large rooms. Carpark and garden,House,À Vendre,La Marsa
1,135000.0,mubawab,75.0,Apartment to purchase. Small area 75 m². Well decorated,Appart,À Vendre,Hammam Ghezèze
2,650000.0,mubawab,130.0,Magnificent villa for sale. 3 rooms. Private garden.,House,À Vendre,Kélibia
2,320000.0,mubawab,200.0,High quality house for sale. 2 rooms. Terrace and garden,House,À Vendre,Hammam El Ghezaz
3,210000.0,mubawab,145.0,Luxury home for sale. Large area 145 m². Carpark and terrace,House,À Vendre,Kélibia
3,330000.0,mubawab,300.0,Luxury Villa for sale. 3 rooms. Fully equipped kitchen,House,À Vendre,Kélibia
2,165000.0,mubawab,90.0,Sell apartment. 3 large living areas,Appart,À Vendre,Kélibia
2,240000.0,mubawab,216.0,Luxury home for sale. 3 rooms. Parking spaces and garden,House,À Vendre,Kélibia
5,530000.0,mubawab,230.0,Find your house to buy in La Soukra. 5 rooms. Double glazing and central heating,House,À Vendre,La Soukra
1,352410.0,mubawab,64.0,"Beautiful apartment for sale in Chotrana 1. Surface area 64 m². Double glazed window, Central air conditioning",Appart,À Vendre,La Soukra
2,148000.0,mubawab,90.0,Apartment for sale. Small area 90 m². Satellite dish system,Appart,À Vendre,Sousse Corniche
2,160000.0,mubawab,100.0,"Apartment for sale. Total area 100 m². Thermal insulation and soundproofing, Secured door",Appart,À Vendre,Sousse Corniche
2,569000.0,mubawab,125.0,Fabulous apartment for sale in Chotrana 1.2 beautiful rooms. Beautiful terrace and garden,Appart,À Vendre,La Soukra
